"City:    ","BOULDER               "
"State:   ","CO"
"WBAN No: ", 94018
"Lat(N):  ", 40.02
"Long(W): ",105.25
"Elev(m): ",  1634
"Pres(mb):",   836
"Stn Type:","Primary"
"SOLAR RADIATION FOR FLAT-PLATE COLLECTORS FACING SOUTH AT A FIXED-TILT (kWh/m2/day), Percentage Uncertainty = 9"
"Tilt(deg)","       ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"0        ","Average", 2.4, 3.3, 4.4, 5.6, 6.2, 6.9, 6.7, 6.0, 5.0, 3.8, 2.6, 2.1, 4.6
"         ","Minimum", 2.1, 2.8, 3.7, 4.8, 5.1, 5.7, 5.6, 5.2, 4.0, 3.1, 2.3, 1.9, 4.3
"         ","Maximum", 2.7, 3.5, 5.0, 6.1, 7.2, 7.8, 7.4, 6.6, 5.5, 4.2, 2.8, 2.3, 4.8
"Lat - 15 ","Average", 3.8, 4.6, 5.4, 6.1, 6.2, 6.6, 6.6, 6.3, 5.9, 5.1, 4.0, 3.5, 5.4
"         ","Minimum", 3.2, 3.8, 4.3, 5.3, 4.9, 5.5, 5.6, 5.3, 4.6, 4.0, 3.4, 2.8, 4.9
"         ","Maximum", 4.4, 5.1, 6.2, 6.8, 7.3, 7.6, 7.4, 7.1, 6.7, 5.8, 4.6, 4.1, 5.7
"Lat      ","Average", 4.4, 5.1, 5.6, 6.0, 5.9, 6.1, 6.1, 6.1, 6.0, 5.6, 4.6, 4.2, 5.5
"         ","Minimum", 3.6, 4.2, 4.4, 5.2, 4.6, 5.1, 5.2, 5.1, 4.6, 4.2, 3.9, 3.2, 5.0
"         ","Maximum", 5.1, 5.7, 6.5, 6.7, 6.8, 6.9, 6.8, 6.8, 6.8, 6.4, 5.2, 4.8, 5.8
"Lat + 15 ","Average", 4.8, 5.3, 5.6, 5.6, 5.2, 5.2, 5.3, 5.5, 5.8, 5.7, 4.8, 4.5, 5.3
"         ","Minimum", 3.9, 4.3, 4.4, 4.8, 4.1, 4.4, 4.5, 4.6, 4.4, 4.2, 4.1, 3.5, 4.8
